"Species","Measurement","Value"
"Iris-setosa","Sepal.Length",5.1
"Iris-setosa","Sepal.Length",4.9
"Iris-setosa","Sepal.Length",4.7
"Iris-setosa","Sepal.Length",4.6
"Iris-setosa","Sepal.Length",5
"Iris-setosa","Sepal.Length",5.4
"Iris-setosa","Sepal.Length",4.6
"Iris-setosa","Sepal.Length",5
"Iris-setosa","Sepal.Length",4.4
"Iris-setosa","Sepal.Length",4.9
"Iris-setosa","Sepal.Length",5.4
"Iris-setosa","Sepal.Length",4.8
"Iris-setosa","Sepal.Length",4.8
"Iris-setosa","Sepal.Length",4.3
"Iris-setosa","Sepal.Length",5.8
"Iris-setosa","Sepal.Length",5.7
"Iris-setosa","Sepal.Length",5.4
"Iris-setosa","Sepal.Length",5.1
"Iris-setosa","Sepal.Length",5.7
"Iris-setosa","Sepal.Length",5.1
"Iris-setosa","Sepal.Length",5.4
"Iris-setosa","Sepal.Length",5.1
"Iris-setosa","Sepal.Length",4.6
"Iris-setosa","Sepal.Length",5.1
"Iris-setosa","Sepal.Length",4.8
"Iris-setosa","Sepal.Length",5
"Iris-setosa","Sepal.Length",5
"Iris-setosa","Sepal.Length",5.2
"Iris-setosa","Sepal.Length",5.2
"Iris-setosa","Sepal.Length",4.7
"Iris-setosa","Sepal.Length",4.8
"Iris-setosa","Sepal.Length",5.4
"Iris-setosa","Sepal.Length",5.2
"Iris-setosa","Sepal.Length",5.5
"Iris-setosa","Sepal.Length",4.9
"Iris-setosa","Sepal.Length",5
"Iris-setosa","Sepal.Length",5.5
"Iris-setosa","Sepal.Length",4.9
"Iris-setosa","Sepal.Length",4.4
"Iris-setosa","Sepal.Length",5.1
"Iris-setosa","Sepal.Length",5
"Iris-setosa","Sepal.Length",4.5
"Iris-setosa","Sepal.Length",4.4
"Iris-setosa","Sepal.Length",5
"Iris-setosa","Sepal.Length",5.1
"Iris-setosa","Sepal.Length",4.8
"Iris-setosa","Sepal.Length",5.1
"Iris-setosa","Sepal.Length",4.6
"Iris-setosa","Sepal.Length",5.3
"Iris-setosa","Sepal.Length",5
"Iris-versicolor","Sepal.Length",7
"Iris-versicolor","Sepal.Length",6.4
"Iris-versicolor","Sepal.Length",6.9
"Iris-versicolor","Sepal.Length",5.5
"Iris-versicolor","Sepal.Length",6.5
"Iris-versicolor","Sepal.Length",5.7
"Iris-versicolor","Sepal.Length",6.3
"Iris-versicolor","Sepal.Length",4.9
"Iris-versicolor","Sepal.Length",6.6
"Iris-versicolor","Sepal.Length",5.2
"Iris-versicolor","Sepal.Length",5
"Iris-versicolor","Sepal.Length",5.9
"Iris-versicolor","Sepal.Length",6
"Iris-versicolor","Sepal.Length",6.1
