"Country","Deaths / million","Deaths","Cases"
"World[a]","887","7,089,976","777,593,567"
"Peru","6,601","220,994","4,528,708"
"Bulgaria","5,679","38,765","1,338,385"
"North Macedonia","5,429","9,991","352,093"
"Bosnia and Herzegovina","5,118","16,404","404,142"
"Hungary","5,072","49,124","2,237,918"
"Croatia","4,807","18,784","1,356,315"
"Slovenia","4,686","9,914","1,363,038"
"Georgia","4,519","17,151","1,864,383"
"Montenegro","4,317","2,654","251,280"
"Czech Republic","4,104","43,807","4,828,163"
"Moldova","4,040","12,283","650,934"
"Latvia","3,973","7,475","977,765"
"Slovakia","3,888","21,280","1,885,865"
"Greece","3,844","40,035","5,764,124"
"San Marino","3,693","126","25,292"
"Romania","3,597","68,961","3,568,500"
"United States","3,569","1,219,038","103,436,829"
"Lithuania","3,507","9,880","1,423,002"
"United Kingdom","3,404","232,112","25,033,577"
"Brazil","3,338","702,185","37,663,684"
"Italy","3,326","198,320","26,966,176"
"Chile","3,298","64,497","5,410,076"
"Martinique","3,159","1,104","230,354"
"Poland","3,151","120,976","6,775,859"
"Armenia","3,049","8,784","454,055"
"Gibraltar","3,002","113","20,550"
"Belgium","2,949","34,339","4,894,648"
"Paraguay","2,940","19,880","735,759"
"Trinidad and Tobago","2,934","4,390","191,496"
"Argentina","2,879","130,744","10,111,371"
"European Union[b]","2,825","1,267,752","186,539,695"
"Portugal","2,795","29,123","5,671,277"
"Russia","2,776","404,255","24,892,959"
"Colombia","2,758","142,738","6,395,784"
"Sweden","2,733","28,670","2,774,200"
"Aruba","2,708","292","44,224"
"Ukraine","2,677","109,925","5,542,711"
"Serbia","2,658","18,057","2,567,965"
"Guadeloupe","2,653","1,021","203,235"
"France","2,616","168,158","39,015,400"
"Mexico","2,603","334,818","7,622,513"
"Spain","2,547","121,852","13,980,340"
"Bermuda","2,547","165","18,860"
"Guam","2,536","419","52,287"
"Austria","2,485","22,534","6,083,104"
"Tunisia","2,427","29,423","1,153,361"
"French Polynesia","2,318","650","79,451"
"Saint Lucia","2,293","410","30,231"
"Uruguay","2,269","7,694","1,042,724"
"Liechtenstein","2,262","89","21,617"
"Suriname","2,256","1,406","82,507"
"Estonia","2,220","2,998","614,367"
"Sint Maarten","2,182","92","11,051"
"Bahamas","2,135","849","39,127"
"Barbados","2,100","593","108,840"
"Germany","2,080","174,979","38,437,860"
"Finland","2,058","11,466","1,499,712"
"Grenada","2,035","238","19,693"
"Ecuador","2,022","36,056","1,080,189"
"Andorra","1,994","159","48,015"
"Panama","1,993","8,775","1,045,165"
"Republic of Ireland","1,944","9,935","1,753,182"
"Malta","1,921","1,015","123,622"
"Lebanon","1,905","10,947","1,239,904"
"Kosovo","1,869","3,212","274,279"
"Bolivia","1,853","22,387","1,212,156"
"Costa Rica","1,844","9,374","1,236,155"
"Puerto Rico","1,832","5,938","1,252,713"
"Hong Kong","1,798","13,466","2,876,106"
"Montserrat","1,787","8","1,403"
"Monaco","1,720","67","17,181"
"Belize","1,708","688","71,432"
"Denmark","1,696","10,012","3,446,789"
"British Virgin Islands","1,669","64","7,644"
"Curaçao","1,645","305","45,883"
"South Africa","1,644","102,595","4,072,930"
"Iran","1,640","146,837","7,627,863"
"Switzerland","1,611","14,170","4,477,566"
"Collectivity of Saint Martin","1,591","46","12,324"
"Guyana","1,584","1,302","74,502"
"Antigua and Barbuda","1,572","146","9,106"
"Jersey","1,555","161","66,391"
"Luxembourg","1,530","1,000","397,406"
"United States Virgin Islands","1,525","132","25,389"
"Cyprus","1,450","1,364","712,791"
"Caribbean Netherlands","1,430","41","11,922"
"Canada","1,424","55,282","4,819,055"
"Namibia","1,422","4,110","172,556"
"Israel","1,395","12,707","4,841,558"
"French Guiana","1,384","413","98,041"
"Isle of Man","1,378","116","38,008"
"Seychelles","1,370","172","51,899"
"Netherlands","1,283","22,986","8,649,887"
"Albania","1,275","3,608","337,196"
"Jamaica","1,275","3,621","157,371"
"Jordan","1,254","14,122","1,746,997"
"Saint Vincent and the Grenadines","1,214","124","9,674"
"Eswatini","1,170","1,427","75,356"
"Turkey","1,164","101,419","17,004,713"
"Botswana","1,148","2,801","330,699"
"Guatemala","1,131","20,203","1,250,802"
"Dominica","1,106","74","16,047"
"New Caledonia","1,093","314","80,203"
"Malaysia","1,076","37,351","5,329,836"
"Palestine","1,075","5,708","703,228"
"Honduras","1,062","11,114","472,911"
"Réunion","1,056","921","494,595"
"Guernsey","1,051","67","35,326"
"Norway","1,050","5,732","1,535,302"
"Azerbaijan","1,005","10,353","836,508"
"Bahrain","1,001","1,536","696,614"
"Saint Kitts and Nevis","984","46","6,607"
"Oman","978","4,628","399,449"
"Australia","963","25,236","11,861,161"
"Fiji","962","885","69,047"
"Kazakhstan","951","19,072","1,504,370"
"Libya","891","6,437","507,269"
"Northern Mariana Islands","889","41","14,985"
"New Zealand","884","4,538","2,668,236"
"Turks and Caicos Islands","872","40","6,846"
"Anguilla","844","12","3,904"
"Mauritius","841","1,074","332,011"
"Cabo Verde","802","417","64,474"
"Wallis and Futuna","782","9","3,760"
"Belarus","775","7,118","994,048"
"Cuba","771","8,530","1,113,662"
"Sri Lanka","740","16,907","672,812"
"Taiwan","739","17,672","9,970,937"
"American Samoa","702","34","8,359"
"South Korea","693","35,934","34,571,873"
"El Salvador","673","4,230","201,991"
"Mongolia","630","2,136","1,011,489"
"Mayotte","612","187","42,027"
"Maldives","602","316","186,694"
"Japan","597","74,694","33,803,572"
"Philippines","586","66,864","4,173,631"
"Indonesia","581","162,059","6,830,212"
"Federated States of Micronesia","579","65","31,765"
"Iraq","575","25,375","2,465,545"
"Palau","562","10","6,372"
"Kuwait","559","2,570","667,290"
"Faroe Islands","518","28","34,658"
"Cayman Islands","516","37","31,472"
"Iceland","489","186","210,767"
"Thailand","484","34,743","4,810,338"
"Saint Barthélemy","456","5","5,507"
"Morocco","436","16,305","1,279,115"
"Vietnam","433","43,206","11,624,000"
"Marshall Islands","424","17","16,297"
"Nepal","404","12,031","1,003,450"
"Brunei","399","182","350,550"
"Dominican Republic","390","4,384","661,103"
"Greenland","374","21","11,971"
